Model,Train_R2,CV_R2_mean,CV_R2_std,Test_R2,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Test_MAPE,Overfit_Gap(Train-Test R2),Train_Time_s,Predict_Time_s
LightGBM,0.963125016274295,0.8605262971014622,0.03165547912784902,0.8546496892784043,16.420100763538652,30.55568632090034,173.42724677688688,384.1856655079995,239.03044352655942,0.10847532699589069,0.57183837890625,0.0795133113861084
Random Forest,0.9739013553603516,0.8814619097508413,0.02044122697838376,0.8540302803328497,11.905354587056113,25.20924238264905,145.9017120083159,385.0033969972797,151.79618925043889,0.11987107502750194,40.65649437904358,0.12054681777954102
Gradient Boosting,0.979906432793455,0.8751557584789097,0.016586396775918694,0.8344736826518016,11.822227718344234,29.556543927697586,128.0206219633904,409.9838042061247,298.63078832769776,0.14543275014165347,7.49582576751709,0.041132211685180664
XGBoost,0.9932399947903098,0.8759569604233427,0.014668546410258883,0.7990671919997107,6.560983723634542,41.30896812984785,74.25486728604137,451.70885179735404,567.0011779544774,0.19417280279059912,0.6639924049377441,0.061464786529541016
Decision Tree,0.9746039246693594,0.7866904937828716,0.016816161092800118,0.7758436069914737,10.413649247677832,39.41048865999867,143.92449497656688,477.099255926656,501.3982517778344,0.1987603176778857,0.3078935146331787,0.022557497024536133
Ridge Regression,0.786578139411603,0.7871850244460464,0.03854257619705081,0.7486521786112683,49.27436628657047,61.21929929802738,417.2255172666316,505.20860264090766,2280.8121555866314,0.037925960800334724,0.12574028968811035,0.02207016944885254
Lasso Regression,0.7865787641644969,0.7872363653362298,0.03858767459394784,0.7476403839087935,48.81251226019613,60.57995403538974,417.2249065910444,506.2244339990692,2184.4004558054435,0.0389383802557034,0.6265771389007568,0.02134537696838379
Linear Regression,0.786585274366634,0.7872046643074437,0.03859378445890101,0.7474248269440336,49.451502534435754,61.5488928306354,417.2185430274982,506.44058766190346,2266.437599650405,0.039160447422600386,0.20565009117126465,0.022112131118774414
K-Nearest Neighbours,0.862034094683684,0.8249809493334136,0.03406034457519651,0.7423691580089768,27.10191881298968,42.93308322986217,335.4573396234549,511.4840565594279,472.7057611812087,0.11966493667470712,0.09318232536315918,114.46911263465881
AdaBoost,0.8042991443174099,-3.4656338732711944,4.478303072925004,0.49789194359873534,123.06741627430152,237.7081764973733,399.52850775857604,714.0551722772776,19372.80954465676,0.30640720071867455,2.8500564098358154,0.06666326522827148
